    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.290E+00  0.149E-03  0.338E-04  0.124E-03  0.314E-03  0.818E-04  0.553E+02  0.100E-14  0.130E-09  0.633E-05  0.300E-05  0.818E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.300E+00  0.141E-03  0.348E-04  0.889E-04  0.224E-03  0.833E-04  0.553E+02  0.100E-14  0.127E-09  0.635E-05  0.227E-05  0.833E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.310E+00  0.136E-03  0.356E-04  0.633E-04  0.159E-03  0.844E-04  0.553E+02  0.100E-14  0.125E-09  0.637E-05  0.169E-05  0.844E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.320E+00  0.132E-03  0.362E-04  0.433E-04  0.108E-03  0.853E-04  0.553E+02  0.100E-14  0.123E-09  0.639E-05  0.120E-05  0.852E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.330E+00  0.130E-03  0.366E-04  0.300E-04  0.745E-04  0.859E-04  0.553E+02  0.100E-14  0.122E-09  0.642E-05  0.843E-06  0.858E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.340E+00  0.128E-03  0.369E-04  0.198E-04  0.489E-04  0.863E-04  0.553E+02  0.100E-14  0.121E-09  0.643E-05  0.560E-06  0.863E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.350E+00  0.127E-03  0.371E-04  0.128E-04  0.315E-04  0.866E-04  0.553E+02  0.100E-14  0.121E-09  0.646E-05  0.374E-06  0.865E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.360E+00  0.126E-03  0.372E-04  0.786E-05  0.192E-04  0.868E-04  0.553E+02  0.100E-14  0.120E-09  0.647E-05  0.229E-06  0.868E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.370E+00  0.125E-03  0.373E-04  0.475E-05  0.116E-04  0.870E-04  0.553E+02  0.100E-14  0.120E-09  0.647E-05  0.141E-06  0.869E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.380E+00  0.125E-03  0.373E-04  0.298E-05  0.721E-05  0.870E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.875E-07  0.870E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
