    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.280E+00  0.335E-03  0.166E-04  0.868E-03  0.226E-02  0.560E-04  0.553E+02  0.100E-14  0.203E-09  0.557E-05  0.823E-05  0.558E-04  0.216E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.136E-03  0.339E-04  0.000E+00  0.320E+00  0.767E+01  0.937E-05  0.100E-09
  0.290E+00  0.315E-03  0.178E-04  0.781E-03  0.204E-02  0.573E-04  0.553E+02  0.100E-14  0.196E-09  0.570E-05  0.803E-05  0.572E-04  0.226E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.193E-03  0.459E-05  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.300E+00  0.290E-03  0.192E-04  0.696E-03  0.182E-02  0.598E-04  0.553E+02  0.100E-14  0.187E-09  0.561E-05  0.777E-05  0.596E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.197E-03  0.229E-05  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.310E+00  0.267E-03  0.203E-04  0.616E-03  0.160E-02  0.622E-04  0.553E+02  0.100E-14  0.179E-09  0.577E-05  0.826E-05  0.621E-04  0.223E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.522E-06  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.320E+00  0.246E-03  0.221E-04  0.533E-03  0.138E-02  0.654E-04  0.553E+02  0.100E-14  0.170E-09  0.580E-05  0.741E-05  0.653E-04  0.217E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.334E-06  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.330E+00  0.226E-03  0.241E-04  0.456E-03  0.118E-02  0.681E-04  0.553E+02  0.100E-14  0.162E-09  0.609E-05  0.702E-05  0.679E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.215E-07  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.340E+00  0.208E-03  0.260E-04  0.384E-03  0.990E-03  0.710E-04  0.553E+02  0.100E-14  0.154E-09  0.623E-05  0.653E-05  0.708E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.114E-07  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.350E+00  0.193E-03  0.277E-04  0.321E-03  0.825E-03  0.735E-04  0.553E+02  0.100E-14  0.148E-09  0.629E-05  0.597E-05  0.733E-04  0.236E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.763E+01  0.937E-05  0.100E-09
  0.360E+00  0.178E-03  0.295E-04  0.259E-03  0.664E-03  0.760E-04  0.553E+02  0.100E-14  0.142E-09  0.635E-05  0.522E-05  0.759E-04  0.216E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.767E+01  0.937E-05  0.100E-09
  0.370E+00  0.167E-03  0.307E-04  0.209E-03  0.533E-03  0.783E-04  0.553E+02  0.100E-14  0.137E-09  0.637E-05  0.451E-05  0.782E-04  0.225E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
