xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
82	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
83	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
84	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
85	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
86	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
87	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
88	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
89	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
90	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
91	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
92	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
93	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
94	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
95	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
96	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
97	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
98	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
99	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
100	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
Time step: 10  Time, s: 100000	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	6.65605	9.90189e-08	0.01	0.02	8.81089e-10	1e-10	50000	1.38445e-14
1	8.84803	6.18879e-05	0.0091487	0.018282	5.31264e-05	0	50000	0.118161
2	9.24654	0.000151564	0.00681138	0.0135576	7.33742e-05	2.01864e-10	50000	7.69683
3	9.34642	0.000197	0.00385171	0.00765209	0.000146758	2.01865e-05	50000	22.6815
4	9.50814	0.000159452	0.00165617	0.00322295	0.000206781	2.01865e-05	50000	18.1205
5	9.61329	0.000120488	0.000559889	0.00100838	0.000214003	2.01864e-05	50000	7.49462
6	9.66489	0.00010631	0.000175711	0.000233282	0.000212577	2.01864e-05	50000	2.80689
7	9.67747	0.000101149	7.94826e-05	3.95069e-05	0.000214042	2.01864e-05	50000	1.31768
8	9.67967	0.000100495	6.22679e-05	4.90421e-06	0.000213758	2.01864e-05	50000	1.03926
9	9.67993	0.000100375	6.01127e-05	5.78876e-07	0.000213758	2.01864e-05	50000	1.00409
10	9.67996	0.000100366	5.99328e-05	2.18432e-07	0.000213758	2.01864e-05	50000	1.00116
11	9.67996	0.000100366	5.99238e-05	2.0041e-07	0.000213758	2.01864e-05	50000	1.00102
12	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
13	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
14	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
15	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
16	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
17	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
18	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
19	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
20	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
21	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
22	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
23	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
24	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
25	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
26	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
27	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
28	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
29	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
30	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
31	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
32	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
33	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
34	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
35	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
36	9.67996	0.000100366	5.99236e-05	2e-07	0.000213758	2.01864e-05	50000	1.00102
