xCa= 1 xC=0 xO=5 xMg=4 xCl=2
 xCalcite=3 xDolomite=4 xAq_gen=0

Time step: 0  Time, s: 0  dTime, s: 1	dt = 50[s]
Node	Aq	pH	Calc	Dolo	Ca	Mg	Cl
31	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
32	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
33	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
34	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
35	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
36	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
37	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
38	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
39	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
40	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
41	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
42	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
43	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
44	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
45	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
46	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
47	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
48	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
49	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
50	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
51	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
52	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
53	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
54	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
55	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
56	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
57	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
58	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
59	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
60	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
61	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
62	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
63	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
64	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
65	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
66	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
67	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
68	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
69	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
70	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
71	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
72	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
73	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
74	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
75	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
76	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
77	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
78	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
79	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
80	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
81	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
82	55.3423	10.072	0.00042802	4.27913e-05	6.01829e-05	0.000157312	2e-07
83	55.3423	10.0719	0.00042809	4.27913e-05	6.01253e-05	0.000157306	2e-07
